did,tid,num_instances,num_features,num_classes,num_missing_values,tabzilla_name,source,test_small,test_large,test
907,,400.0,8.0,2.0,0.0,,['additional'],False,False,
908,,400.0,8.0,2.0,0.0,,['additional'],False,False,
909,,400.0,8.0,2.0,0.0,,['additional'],False,False,
911,,250.0,6.0,2.0,0.0,,['additional'],False,False,
912,,1000.0,6.0,2.0,0.0,,['additional'],False,False,
913,,1000.0,11.0,2.0,0.0,,['additional'],False,False,
915,,315.0,14.0,2.0,0.0,,['additional'],False,False,
925,,323.0,5.0,2.0,0.0,,['additional'],False,False,
930,,1302.0,34.0,2.0,7830.0,,['additional'],False,False,
931,,662.0,4.0,2.0,0.0,,['additional'],False,False,
939,,228.0,9.0,2.0,20.0,,['additional'],False,False,
940,,527.0,37.0,2.0,542.0,,['additional'],False,False,
941,,189.0,10.0,2.0,0.0,,['additional'],False,False,
943,,500.0,11.0,2.0,0.0,,['additional'],False,False,
949,,559.0,5.0,2.0,0.0,,['additional'],False,False,
957,,412.0,9.0,2.0,96.0,,['additional'],False,False,
966,,1340.0,17.0,2.0,20.0,,['additional'],False,False,
968,,365.0,4.0,2.0,30.0,,['additional'],False,False,
981,,10108.0,69.0,2.0,2699.0,,['additional'],False,False,
984,,366.0,5.0,2.0,1.0,,['additional'],False,False,
987,,500.0,23.0,2.0,0.0,,['additional'],False,False,
996,,214.0,10.0,2.0,0.0,,['additional'],False,False,
1000,,3772.0,30.0,2.0,6064.0,,['additional'],False,False,
1002,,7485.0,56.0,2.0,32427.0,,['additional'],False,False,
1016,,990.0,14.0,2.0,0.0,,['additional'],False,False,
1018,,8844.0,57.0,2.0,34843.0,,['additional'],False,False,
1037,,4562.0,15.0,2.0,88.0,,['additional'],False,False,
1042,,3468.0,785.0,2.0,0.0,,['additional'],False,False,
1048,,369.0,9.0,2.0,0.0,,['additional'],False,False,
1054,,161.0,40.0,2.0,0.0,,['additional'],False,False,
1071,,403.0,38.0,2.0,0.0,,['additional'],False,False,
1073,,274.0,9.0,2.0,0.0,,['additional'],False,False,
1100,,478.0,11.0,3.0,0.0,,['additional'],False,False,
1112,,50000.0,231.0,2.0,8024152.0,,['additional'],False,False,
1115,,151.0,7.0,3.0,0.0,,['additional'],False,False,
1126,,412.0,10936.0,2.0,0.0,,['additional'],False,False,
1129,,384.0,10936.0,2.0,0.0,,['additional'],False,False,
1130,,1545.0,10936.0,2.0,0.0,,['additional'],False,False,
1131,,193.0,10936.0,2.0,0.0,,['additional'],False,False,
1142,,1545.0,10936.0,2.0,0.0,,['additional'],False,False,
1156,,275.0,10936.0,2.0,0.0,,['additional'],False,False,
1162,,322.0,10936.0,2.0,0.0,,['additional'],False,False,
1412,,226.0,24.0,2.0,0.0,,['additional'],False,False,
1442,,253.0,38.0,2.0,0.0,,['additional'],False,False,
1443,,661.0,38.0,2.0,0.0,,['additional'],False,False,
1444,,1043.0,38.0,2.0,0.0,,['additional'],False,False,
1446,,296.0,38.0,2.0,0.0,,['additional'],False,False,
1447,,327.0,38.0,2.0,0.0,,['additional'],False,False,
1448,,194.0,40.0,2.0,0.0,,['additional'],False,False,
1451,,705.0,38.0,2.0,0.0,,['additional'],False,False,
1452,,745.0,37.0,2.0,0.0,,['additional'],False,False,
1453,,1077.0,38.0,2.0,0.0,,['additional'],False,False,
1481,,28056.0,7.0,18.0,0.0,,['additional'],False,False,
1488,,195.0,23.0,2.0,0.0,,['additional'],False,False,
1490,,182.0,13.0,2.0,0.0,,['additional'],False,False,
1495,,250.0,7.0,2.0,0.0,,['additional'],False,False,
1498,,462.0,10.0,2.0,0.0,,['additional'],False,False,
1499,,210.0,8.0,3.0,0.0,,['additional'],False,False,
1503,,263256.0,15.0,10.0,0.0,,['additional'],False,False,
1506,,470.0,17.0,2.0,0.0,,['additional'],False,False,
1507,,7400.0,21.0,2.0,0.0,,['additional'],False,False,
1508,,403.0,6.0,5.0,0.0,,['additional'],False,False,
1511,,440.0,9.0,2.0,0.0,,['additional'],False,False,
1512,,200.0,14.0,5.0,0.0,,['additional'],False,False,
1520,,164.0,91.0,5.0,0.0,,['additional'],False,False,
1523,,310.0,7.0,3.0,0.0,,['additional'],False,False,
1531,,10176.0,4.0,5.0,0.0,,['additional'],False,False,
1532,,10668.0,4.0,5.0,0.0,,['additional'],False,False,
1538,,8753.0,4.0,5.0,0.0,,['additional'],False,False,
1541,,8654.0,4.0,5.0,0.0,,['additional'],False,False,
1546,,1112.0,4.0,5.0,0.0,,['additional'],False,False,
1547,,1000.0,21.0,2.0,0.0,,['additional'],False,False,
4153,,180.0,68.0,6.0,0.0,,['additional'],False,False,
23499,,277.0,10.0,2.0,0.0,,['additional'],False,False,
40646,,1600.0,21.0,2.0,0.0,,['additional'],False,False,
40663,,399.0,33.0,5.0,0.0,,['additional'],False,False,
40669,,160.0,7.0,2.0,0.0,,['additional'],False,False,
40680,,1324.0,11.0,2.0,0.0,,['additional'],False,False,
40682,,215.0,6.0,3.0,0.0,,['additional'],False,False,
40690,,512.0,10.0,2.0,0.0,,['additional'],False,False,
40693,,973.0,10.0,2.0,0.0,,['additional'],False,False,
40705,,959.0,45.0,2.0,0.0,,['additional'],False,False,
40706,,1124.0,11.0,2.0,0.0,,['additional'],False,False,
40710,,303.0,14.0,2.0,0.0,,['additional'],False,False,
40711,,303.0,8.0,5.0,0.0,,['additional'],False,False,
41430,,281.0,98.0,2.0,2.0,,['additional'],False,False,
41538,,246.0,7.0,2.0,0.0,,['additional'],False,False,
41919,,527.0,23.0,4.0,0.0,,['additional'],False,False,
41976,,156.0,81.0,2.0,0.0,,['additional'],False,False,
42172,,202.0,20.0,2.0,17.0,,['additional'],False,False,
42261,,150.0,5.0,3.0,0.0,,['additional'],False,False,
42544,,265.0,11.0,8.0,0.0,,['additional'],False,False,
42585,,344.0,7.0,3.0,18.0,,['additional'],False,False,
42638,,891.0,8.0,2.0,689.0,,['additional'],False,False,
